,language,text,label,score,categ_score
0,arabic,"""War on Gaza... New Massacres Target Crowds Awaiting Aid and Hamas Accuses Occupation of Confusion and Disarray""",negative,0.8557766675949097,-2
1,arabic,"""Watch... Israeli Fire Hours on October 7th""",neutral,0.8772227168083191,1
2,arabic,"""Watch... Israeli Fire Hours on October 7th""",neutral,0.8772227168083191,1
3,arabic,"""Watch... Al-Quds Brigades blow up tank and lure Israeli forces into ambush in Khan Yunis""",negative,0.7348030805587769,-2
4,arabic,"""Two Massacres in Gaza Against Flour Seekers and Occupation Suffers New Losses""",negative,0.7924500703811646,-2
5,arabic,"""The latest incident in Jenin.. Why does the security of the authority insist on pursuing resistance in the West Bank?""",negative,0.8937721848487854,-2
6,arabic,"""10% of Casualties in Gaza Occupation are Americans.. Information Sparks Social Media Sites""",neutral,0.6122445464134216,1
7,arabic,"""Al-Dawiri: For These Reasons, Israel Repeated the Attack on Qarara""",negative,0.7738606929779053,-2
8,arabic,"""He knew the impact he would make"".. Jewish activist mourns American soldier Aaron ...""",negative,0.4407463073730469,-1
9,arabic,"""Monir Al-Akash: The Fate of Native Americans and the Israeli Significance of America""",negative,0.8106240034103394,-2
