,language,text,label,score,categ_score,positive,negative,neutral
0,chinese,Mexico Announces Diplomatic Break with Ecuador,neutral,0.654089093208313,1,6,1,3
1,chinese,"""China's Service Industry Shows Signs of Recovery in March""",positive,0.6644638180732727,2,6,1,3
2,chinese,"""Joint Efforts Boost Confidence: ""Spring Production"" Creates New Opportunities for China""",positive,0.8203174471855164,3,6,1,3
3,chinese,"""Chinese Ambassador to the US: The concern should not be whether the Chinese economy will ""collapse"", but these...""",negative,0.4863484501838684,-1,6,1,3
4,chinese,"""4.9 Magnitude Earthquake Occurs in Ludian County, Zhaotong City, Yunnan Province""",neutral,0.5248103737831116,1,6,1,3
5,chinese,"""Enjoy Spring Flavors, Admire Spring Flowers, and Have Fun Spring Travel - Gansu Tianshui, an Ancient City in Northwest China, Continues to be ""Hot and Spicy""""",positive,0.816590428352356,3,6,1,3
6,chinese,"""Telecommunications Industry Achieves Stable Start Overall""",positive,0.6339901089668274,2,6,1,3
7,chinese,"""Hanfu Parade, Flower God Interaction, Gentleman's Six Arts Experience... Beijing's Jingzhi Lake Flower Festival Embraces Traditional Chinese Culture""",positive,0.5228111743927002,2,6,1,3
8,chinese,"""Profits of Large-scale Light Industry Enterprises Increase by 26.9% Year-on-Year in the First Two Months, Continuing the Upward Trend of Light Industry Economy""",positive,0.5388687252998352,2,6,1,3
9,chinese,"""Acceptance of Writing a Will by Different Age Groups""",neutral,0.8359904289245605,1,6,1,3
